Total Visits,Unique Visitors,Avg Session Duration,Bounce Rate,Journeys Per Session,Avg Time on Journey,Most Visited Journey,Journey Steps,Time on Step,TDA Clicks,RFO Clicks,Conversion Rate,Lead Conversion Rate,Document Downloads,Purchases,Feedback Score,Search Query Frequency,Search Result CTR,Social Shares,Page Load Time,Error Rates,User Demographics,Behavioral Segment,Date
908.0,747.0,4.93,45.65,2.0,1.97,Brandportal,brandportal.skoda-model-2,2.67,tda.skoda-model-2,rfo.skoda-model-1,2.45,2.93,63.0,21.0,3.6,new car models,32.57,65.0,1.87,0.05,"18-24, Female",New Visitor,2023-01-16
1206.0,948.0,7.89,66.59,3.0,2.96,Car Configurator,dealer-search.dealer-2,4.45,tda.skoda-model-2,rfo.skoda-model-3,5.85,3.86,191.0,11.0,3.2,dealership locations,39.47,48.0,2.47,0.08,"18-24, Female",Returning Visitor,2023-01-16
868.0,966.0,6.29,47.46,2.0,2.23,Inventory Check,dealer-search.dealer-1,3.97,tda.skoda-model-3,rfo.skoda-model-2,6.81,4.41,163.0,7.0,3.4,dealership locations,21.31,94.0,3.76,0.05,"18-24, Female",Frequent Buyer,2023-01-01
1335.0,1170.0,7.27,31.82,4.0,1.39,Dealer Search,inventory-check.skoda-model-2,2.73,tda.skoda-model-2,rfo.skoda-model-1,7.57,1.27,131.0,10.0,4.1,car pricing,49.5,99.0,1.17,0.07,"35-44, Female",Frequent Buyer,2023-01-06
856.0,1138.0,9.54,24.88,3.0,4.64,Brandportal,dealer-search.dealer-1,1.84,tda.skoda-model-1,rfo.skoda-model-2,7.81,1.63,84.0,10.0,3.8,new car models,43.39,74.0,2.68,0.02,"25-34, Male",Frequent Buyer,2023-01-06
851.0,1140.0,5.06,21.57,4.0,4.65,Inventory Check,car-configurator.step-2,2.98,tda.skoda-model-3,rfo.skoda-model-3,5.41,2.76,179.0,29.0,3.9,dealership locations,26.08,47.0,3.47,0.08,"18-24, Female",New Visitor,2023-01-29
1250.0,1061.0,3.73,32.55,4.0,1.85,Brandportal,brandportal.skoda-model-2,2.67,tda.skoda-model-3,rfo.skoda-model-2,5.71,3.45,154.0,28.0,4.2,new car models,44.29,89.0,1.82,0.07,"35-44, Female",New Visitor,2023-01-25
1175.0,1015.0,9.98,38.79,5.0,3.94,Brandportal,brandportal.finish,4.09,tda.skoda-model-3,rfo.skoda-model-3,3.31,3.57,174.0,19.0,4.0,new car models,46.5,70.0,1.19,0.05,"18-24, Female",Returning Visitor,2023-01-29
1215.0,701.0,5.02,24.05,4.0,2.04,Dealer Search,car-configurator.step-2,1.33,tda.skoda-model-2,rfo.skoda-model-2,9.04,3.66,90.0,23.0,5.0,new car models,20.96,59.0,3.92,0.02,"35-44, Female",New Visitor,2023-01-26
1113.0,724.0,6.18,65.21,5.0,4.93,Car Configurator,car-configurator.start,3.47,tda.skoda-model-1,rfo.skoda-model-1,6.94,3.05,104.0,23.0,3.1,dealership locations,43.9,43.0,1.07,0.1,"18-24, Female",Frequent Buyer,2023-01-20
1010.0,708.0,5.34,47.96,5.0,3.2,Dealer Search,inventory-check.skoda-model-1,4.25,tda.skoda-model-3,rfo.skoda-model-1,7.95,3.68,68.0,9.0,3.6,new car models,22.39,50.0,1.17,0.02,"35-44, Female",Returning Visitor,2023-01-22
972.0,1166.0,3.67,42.94,3.0,4.46,Dealer Search,car-configurator.step-1,2.62,tda.skoda-model-3,rfo.skoda-model-1,3.04,2.26,124.0,27.0,4.3,dealership locations,46.55,60.0,2.21,0.06,"35-44, Female",New Visitor,2023-01-11
1208.0,723.0,6.16,40.76,1.0,3.72,Inventory Check,inventory-check.skoda-model-1,3.62,tda.skoda-model-1,rfo.skoda-model-3,8.27,4.79,86.0,29.0,3.0,car pricing,39.12,93.0,2.21,0.05,"18-24, Female",New Visitor,2023-01-03
1198.0,876.0,4.41,49.53,2.0,1.19,Dealer Search,car-configurator.start,3.92,tda.skoda-model-3,rfo.skoda-model-2,5.83,1.96,145.0,27.0,4.3,car pricing,24.75,62.0,1.63,0.07,"18-24, Female",Frequent Buyer,2023-01-11
